Category,Sub-Category,Sales,Quantity,Discount,Profit
Office Supplies,Storage,230.376,3,0.2,-48.9549
Furniture,Chairs,301.96,2,0.0,33.215599999999995
Technology,Accessories,19.99,1,0.0,6.796599999999998
Office Supplies,Labels,6.16,2,0.0,2.9568
Office Supplies,Storage,158.36800000000002,7,0.2,13.857199999999999
Office Supplies,Art,20.1,3,0.0,6.632999999999998
Technology,Phones,73.584,2,0.2,8.278199999999998
Office Supplies,Paper,6.48,1,0.0,3.1104000000000003
Office Supplies,Paper,12.96,2,0.0,6.2208000000000006
Furniture,Furnishings,53.34,3,0.0,16.535399999999996
Office Supplies,Binders,32.96,2,0.0,16.1504
Office Supplies,Binders,5.682000000000001,1,0.7,-3.7880000000000003
Furniture,Furnishings,96.53,7,0.0,40.5426
Office Supplies,Binders,51.312,3,0.2,17.9592
Office Supplies,Appliances,77.88,6,0.0,22.585199999999993
Office Supplies,Paper,64.624,7,0.2,22.618399999999994
Technology,Accessories,95.97600000000001,3,0.2,-10.79730000000001
Office Supplies,Binders,1.7879999999999996,3,0.8,-3.0396
Office Supplies,Paper,23.92,4,0.0,11.7208
Technology,Accessories,238.89600000000002,6,0.2,-26.875800000000012
Furniture,Furnishings,102.35999999999999,3,0.2,-3.8385000000000105
Office Supplies,Binders,36.882000000000005,3,0.7,-25.8174
Technology,Accessories,74.11200000000001,8,0.2,17.6016
Technology,Phones,27.992000000000004,1,0.2,2.0993999999999993
Office Supplies,Art,3.3040000000000003,1,0.2,1.0737999999999999
Technology,Accessories,339.96000000000004,5,0.2,67.99199999999996
Furniture,Furnishings,41.96,2,0.0,10.909600000000001
Office Supplies,Art,75.96,2,0.0,22.78799999999999
Office Supplies,Binders,27.240000000000002,6,0.0,13.3476
Office Supplies,Fasteners,40.096000000000004,14,0.2,14.534799999999997
Office Supplies,Envelopes,4.720000000000001,2,0.2,1.6519999999999997
Office Supplies,Paper,23.976000000000003,3,0.2,7.492499999999999
Office Supplies,Envelopes,130.464,6,0.2,44.0316
Furniture,Tables,787.53,3,0.0,165.38129999999995
Office Supplies,Binders,157.79400000000004,1,0.7,-115.7156
Furniture,Furnishings,47.04,3,0.0,18.345599999999997
Office Supplies,Binders,30.84,4,0.0,13.878
Office Supplies,Storage,226.56,6,0.0,63.436800000000005
Office Supplies,Envelopes,115.02,9,0.0,51.75899999999999
Technology,Phones,68.04,7,0.0,19.731599999999997
Furniture,Chairs,600.558,3,0.3,-8.579400000000078
Furniture,Tables,617.7,6,0.5,-407.68200000000013
Office Supplies,Binders,2.3880000000000003,2,0.7,-1.8308
Office Supplies,Storage,243.99200000000002,7,0.2,30.49899999999998
Furniture,Chairs,81.424,2,0.2,-9.160199999999996
Furniture,Furnishings,238.56,3,0.0,26.241599999999977
Technology,Phones,59.96999999999999,5,0.4,-11.993999999999993
Office Supplies,Paper,78.304,2,0.2,29.363999999999997
Office Supplies,Fasteners,21.456,9,0.2,6.973199999999998
Office Supplies,Paper,20.04,3,0.0,9.6192
Office Supplies,Paper,35.44,1,0.0,16.656799999999997
Office Supplies,Art,11.52,4,0.0,3.4559999999999995
Office Supplies,Fasteners,4.02,2,0.0,1.9697999999999998
Office Supplies,Binders,76.176,3,0.2,26.661599999999996
Office Supplies,Supplies,65.88,6,0.0,18.446400000000004
Furniture,Furnishings,43.120000000000005,14,0.0,20.697599999999998
Furniture,Furnishings,82.80000000000001,2,0.2,10.349999999999994
Office Supplies,Art,8.82,3,0.0,2.3814
Office Supplies,Envelopes,10.86,3,0.0,5.1042000000000005
Office Supplies,Paper,143.7,3,0.0,68.976
Office Supplies,Appliances,839.4300000000001,3,0.0,218.25179999999997
Office Supplies,Storage,671.93,7,0.0,20.157899999999998
Furniture,Furnishings,93.888,4,0.2,12.90959999999999
Technology,Phones,384.45000000000005,11,0.0,103.80150000000003
Technology,Phones,149.97,3,0.0,5.9987999999999815
Furniture,Chairs,1951.84,8,0.0,585.5519999999999
Office Supplies,Binders,171.55,5,0.0,80.6285
Office Supplies,Appliances,157.92,5,0.2,17.76599999999999
Technology,Phones,203.184,2,0.2,15.23879999999999
Office Supplies,Paper,58.379999999999995,7,0.0,26.270999999999994
Office Supplies,Paper,105.52,4,0.0,48.539199999999994
Office Supplies,Storage,80.88,6,0.0,21.028799999999997
Office Supplies,Art,6.63,3,0.0,1.7901
Furniture,Chairs,457.56800000000004,2,0.2,51.47639999999994
Office Supplies,Labels,14.62,2,0.0,6.8713999999999995
Technology,Phones,944.9300000000001,7,0.0,236.23250000000002
Office Supplies,Paper,5.98,1,0.0,2.691
Technology,Accessories,54.38400000000001,2,0.2,1.359599999999995
Office Supplies,Envelopes,28.4,5,0.0,13.347999999999997
Office Supplies,Binders,27.680000000000003,2,0.2,9.687999999999999
Office Supplies,Art,9.936,3,0.2,2.7324
Technology,Machines,8159.951999999999,8,0.4,-1359.992000000002
Office Supplies,Storage,275.928,3,0.2,-58.634699999999995
Furniture,Chairs,1740.0599999999997,9,0.3,-24.858000000000175
Office Supplies,Art,32.064,6,0.2,6.813599999999997
Office Supplies,Appliances,177.97999999999996,5,0.8,-453.84900000000005
Technology,Phones,143.976,3,0.2,8.998500000000007
Office Supplies,Paper,20.94,3,0.0,9.841800000000001
Office Supplies,Paper,110.96,2,0.0,53.260799999999996
Furniture,Chairs,340.14400000000006,7,0.2,21.259
Office Supplies,Appliances,52.44799999999999,2,0.8,-131.12000000000003
Office Supplies,Labels,20.16,4,0.2,6.551999999999999
Office Supplies,Appliances,97.26399999999998,4,0.8,-243.16000000000008
Furniture,Chairs,396.802,7,0.3,-11.337199999999939
Office Supplies,Supplies,15.88,5,0.2,-3.771500000000001
Office Supplies,Art,3.28,1,0.0,1.4104
Office Supplies,Storage,24.816000000000003,2,0.2,1.8612000000000002
Technology,Accessories,408.74399999999997,7,0.2,76.63949999999998
Technology,Phones,503.96,4,0.0,131.02960000000002
Technology,Phones,149.95,5,0.0,41.986000000000004
Technology,Accessories,29.0,2,0.0,7.25
Office Supplies,Binders,7.16,2,0.0,3.4368
Technology,Accessories,176.8,8,0.0,22.98400000000001
Office Supplies,Storage,37.224000000000004,3,0.2,3.7224000000000004
Office Supplies,Paper,20.016000000000002,3,0.2,6.254999999999996
Furniture,Bookcases,899.1360000000001,4,0.2,112.39199999999991
Technology,Phones,71.76,6,0.0,20.092800000000004
Office Supplies,Paper,51.84,8,0.0,24.883200000000002
Furniture,Bookcases,626.3520000000001,3,0.2,46.97640000000001
Office Supplies,Art,19.9,5,0.0,6.566999999999998
Office Supplies,Envelopes,14.280000000000001,7,0.0,6.711599999999999
Office Supplies,Art,7.408,2,0.2,1.2037999999999995
Office Supplies,Art,6.048,3,0.2,1.5876000000000006
Office Supplies,Storage,46.26,3,0.0,12.0276
Office Supplies,Binders,2.9460000000000006,2,0.7,-2.2585999999999995
Office Supplies,Paper,16.056,3,0.2,5.8203000000000005
Office Supplies,Paper,21.744000000000003,3,0.2,6.794999999999999
Furniture,Tables,218.75,2,0.5,-161.875
Office Supplies,Appliances,2.6,1,0.2,0.29249999999999987
Office Supplies,Appliances,66.28399999999999,2,0.8,-178.9668
Furniture,Furnishings,35.168000000000006,7,0.2,9.671200000000002
Technology,Phones,444.76800000000003,4,0.2,44.476800000000026
Office Supplies,Storage,83.92,4,0.0,5.874399999999994
Technology,Phones,131.98,2,0.0,35.634600000000006
Office Supplies,Binders,15.92,4,0.0,7.4824
Office Supplies,Fasteners,52.29,9,0.0,16.209899999999998
Office Supplies,Storage,91.99,1,0.0,3.6795999999999935
Technology,Accessories,20.8,2,0.2,6.499999999999999
Office Supplies,Labels,23.680000000000003,2,0.2,8.879999999999999
Furniture,Bookcases,452.45,5,0.5,-244.32300000000006
Technology,Phones,62.982,3,0.4,-14.695800000000006
Technology,Machines,1188.0000000000002,9,0.7,-950.4000000000001
Technology,Accessories,89.584,2,0.2,4.479200000000006
Office Supplies,Storage,93.06,6,0.0,26.056800000000003
Technology,Phones,302.376,3,0.2,22.678200000000018
Office Supplies,Fasteners,5.5840000000000005,2,0.2,1.8147999999999997
Office Supplies,Paper,22.704000000000004,6,0.2,8.2302
Office Supplies,Binders,19.776000000000003,4,0.7,-13.843199999999996
Furniture,Furnishings,72.704,4,0.2,19.084800000000005
Technology,Machines,479.98800000000006,4,0.7,-383.9904
Office Supplies,Art,27.168000000000003,2,0.2,2.7168
Office Supplies,Art,2.2,1,0.0,0.9680000000000002
Furniture,Tables,622.4499999999999,5,0.0,136.939
Office Supplies,Storage,21.98,1,0.0,0.21979999999999933
Furniture,Chairs,161.568,2,0.2,-28.27440000000002
Furniture,Chairs,389.696,8,0.2,43.84079999999997
Office Supplies,Binders,18.648000000000003,7,0.7,-12.431999999999999
Furniture,Tables,233.86,2,0.45,-102.04800000000003
Furniture,Tables,620.6145000000001,3,0.45,-248.24579999999992
Office Supplies,Binders,5.328000000000001,2,0.7,-3.5519999999999996
Furniture,Furnishings,258.072,3,0.2,0.0
Technology,Accessories,617.9760000000001,3,0.2,-7.724700000000098
Office Supplies,Paper,10.56,2,0.0,4.752
Office Supplies,Paper,25.920000000000005,5,0.2,9.396
Furniture,Furnishings,419.68000000000006,5,0.6,-356.72799999999995
Furniture,Furnishings,11.688,3,0.6,-4.6751999999999985
Technology,Phones,31.983999999999998,2,0.2,11.194399999999998
Furniture,Tables,177.225,5,0.5,-120.51299999999998
Furniture,Furnishings,4.0440000000000005,3,0.6,-2.8307999999999995
Office Supplies,Art,7.408,2,0.2,1.2037999999999995
Furniture,Chairs,2001.8600000000001,7,0.0,580.5393999999999
Office Supplies,Storage,166.72,2,0.0,41.68000000000001
Office Supplies,Paper,47.88,6,0.0,23.94
Office Supplies,Appliances,1503.25,5,0.0,496.07249999999993
Office Supplies,Paper,25.92,4,0.0,12.441600000000001
Furniture,Chairs,321.568,2,0.2,28.137200000000007
Office Supplies,Paper,7.61,1,0.0,3.5766999999999998
Technology,Accessories,3347.37,13,0.0,636.0002999999997
Office Supplies,Storage,80.58,6,0.0,22.562400000000004
Office Supplies,Envelopes,361.92,4,0.0,162.864
Furniture,Furnishings,12.132000000000001,9,0.6,-8.492399999999998
Office Supplies,Storage,82.368,2,0.2,-19.562399999999997
Office Supplies,Storage,53.92,5,0.2,4.043999999999997
Technology,Phones,647.904,6,0.2,56.691599999999966
Technology,Accessories,20.37,3,0.0,6.925800000000001
Office Supplies,Storage,221.54999999999998,3,0.0,6.646500000000017
Office Supplies,Binders,17.52,5,0.2,6.131999999999999
Office Supplies,Appliances,1.6239999999999994,2,0.8,-4.466
Technology,Machines,3059.982,3,0.4,-509.99700000000075
Technology,Machines,2519.9579999999996,7,0.4,-251.99579999999992
Technology,Phones,328.224,4,0.2,28.7196
Technology,Accessories,79.9,2,0.0,35.156000000000006
Office Supplies,Art,14.015999999999998,3,0.2,4.7303999999999995
Office Supplies,Fasteners,7.5600000000000005,6,0.0,0.3024
Office Supplies,Storage,37.208,1,0.2,-7.441600000000001
Office Supplies,Envelopes,57.576,3,0.2,21.591
Office Supplies,Storage,725.84,4,0.0,210.4935999999999
Technology,Accessories,209.92999999999998,7,0.0,92.36920000000002
Furniture,Furnishings,5.28,3,0.0,2.3232000000000004
Office Supplies,Binders,10.92,3,0.2,4.094999999999999
Office Supplies,Paper,8.82,2,0.0,4.0572
Office Supplies,Art,5.98,1,0.0,1.5548000000000002
Office Supplies,Paper,11.648000000000001,2,0.2,4.0768
Office Supplies,Paper,18.176,4,0.2,5.907199999999999
Office Supplies,Storage,59.712,6,0.2,5.9712
Office Supplies,Labels,24.839999999999996,3,0.2,8.694
Office Supplies,Binders,2.0799999999999996,5,0.8,-3.4320000000000004
Technology,Phones,1114.4,7,0.2,376.11
Furniture,Tables,1038.84,5,0.2,51.94200000000001
Office Supplies,Paper,141.76,5,0.2,47.843999999999994
Technology,Accessories,239.80000000000004,5,0.2,47.95999999999999
Office Supplies,Paper,31.104000000000006,6,0.2,10.8864
Office Supplies,Binders,254.05800000000002,7,0.7,-169.3719999999999
Office Supplies,Appliances,194.52800000000002,2,0.2,24.315999999999974
Office Supplies,Supplies,961.4800000000001,5,0.2,-204.31449999999995
Office Supplies,Fasteners,19.096,7,0.2,6.683599999999999
Office Supplies,Labels,18.496000000000002,8,0.2,6.2424
Technology,Accessories,255.98400000000004,2,0.2,54.39660000000001
Furniture,Bookcases,86.97,3,0.5,-48.703199999999995
Furniture,Furnishings,300.416,8,0.2,78.8592
Furniture,Chairs,230.35200000000003,3,0.2,20.155800000000013
Furniture,Furnishings,218.35200000000003,3,0.2,-24.5646
Office Supplies,Binders,78.60000000000001,5,0.7,-62.88000000000001
Office Supplies,Fasteners,27.552000000000003,3,0.2,9.298799999999996
Office Supplies,Paper,32.400000000000006,5,0.0,15.552000000000001
Office Supplies,Storage,1082.48,8,0.0,10.824800000000096
Office Supplies,Paper,56.91,3,0.0,27.316799999999997
Furniture,Furnishings,77.6,4,0.0,38.023999999999994
Office Supplies,Binders,14.28,1,0.0,6.5687999999999995
Furniture,Tables,219.07500000000002,3,0.5,-131.44500000000005
Furniture,Furnishings,26.8,2,0.0,12.863999999999999
Office Supplies,Art,9.84,3,0.0,2.853599999999999
Office Supplies,Binders,45.480000000000004,3,0.0,20.9208
Office Supplies,Art,289.20000000000005,6,0.0,83.86799999999997
Office Supplies,Art,4.89,1,0.0,2.0049
Furniture,Furnishings,15.136000000000003,4,0.2,3.594800000000001
Furniture,Chairs,466.76800000000003,2,0.2,52.51139999999998
Furniture,Furnishings,15.232,1,0.2,1.7135999999999978
Office Supplies,Labels,6.264,3,0.2,2.0358
Furniture,Furnishings,87.53999999999999,3,0.0,37.6422
Technology,Phones,178.38400000000001,2,0.2,22.297999999999973
Office Supplies,Paper,15.552000000000003,3,0.2,5.4432
Office Supplies,Art,99.13600000000001,4,0.2,8.674399999999995
Furniture,Chairs,135.882,1,0.1,24.156800000000004
Technology,Machines,3991.98,2,0.0,1995.99
Technology,Phones,275.94,6,0.0,80.0226
Technology,Accessories,360.0,4,0.0,129.6
Office Supplies,Storage,43.57,1,0.0,13.070999999999998
Office Supplies,Fasteners,7.16,2,0.0,3.58
Office Supplies,Binders,251.52,6,0.2,81.744
Technology,Accessories,99.99,1,0.0,34.9965
Furniture,Furnishings,15.991999999999999,1,0.2,0.999499999999999
Technology,Phones,290.898,3,0.4,-67.8762
Office Supplies,Storage,54.224000000000004,2,0.2,3.3889999999999993
Furniture,Chairs,786.744,4,0.3,-258.5016000000001
Office Supplies,Labels,100.24000000000001,10,0.2,33.83099999999999
Office Supplies,Binders,37.76400000000001,6,0.7,-27.693600000000004
Technology,Phones,82.8,2,0.4,-20.700000000000003
Office Supplies,Binders,20.724000000000004,2,0.7,-13.815999999999995
Office Supplies,Binders,4.896000000000001,3,0.7,-3.427199999999999
Office Supplies,Binders,4.752000000000001,1,0.2,1.6037999999999997
Technology,Copiers,959.984,2,0.2,335.99440000000004
Office Supplies,Binders,14.368000000000002,4,0.2,4.489999999999998
Office Supplies,Binders,7.712000000000001,2,0.2,2.7956000000000003
Furniture,Tables,698.3520000000001,3,0.2,-17.458800000000053
Office Supplies,Fasteners,4.96,4,0.0,2.3312
Office Supplies,Art,17.856,4,0.2,1.1159999999999979
Office Supplies,Binders,509.9700000000001,10,0.7,-407.9759999999999
Office Supplies,Fasteners,30.991999999999997,13,0.2,10.072399999999996
Technology,Phones,71.928,12,0.4,8.39159999999999
Office Supplies,Storage,88.80000000000001,4,0.2,-2.220000000000013
Technology,Phones,47.976,3,0.2,4.797600000000003
Office Supplies,Art,7.5600000000000005,3,0.0,3.0996000000000006
Office Supplies,Paper,24.56,2,0.0,11.543199999999999
Office Supplies,Art,12.96,2,0.0,4.1472
Technology,Accessories,6.79,1,0.0,2.3086
Office Supplies,Paper,24.56,2,0.0,11.543199999999999
Office Supplies,Binders,3.048,1,0.2,1.0668
Office Supplies,Paper,49.12,4,0.0,23.086399999999998
Office Supplies,Binders,4355.168000000001,4,0.2,1415.4295999999997
Furniture,Bookcases,388.70400000000006,6,0.2,-4.858800000000002
Office Supplies,Envelopes,8.26,2,0.0,3.7996
Office Supplies,Art,17.04,4,0.0,6.9864
Office Supplies,Paper,34.4,5,0.0,15.823999999999998
Office Supplies,Paper,36.24000000000001,5,0.2,11.324999999999996
Office Supplies,Appliances,647.84,8,0.0,168.4384
Office Supplies,Labels,20.7,2,0.0,9.936
Office Supplies,Labels,20.7,2,0.0,9.936
Furniture,Chairs,488.646,3,0.1,86.8704
Office Supplies,Art,5.56,2,0.0,1.4455999999999998
Furniture,Furnishings,47.12,8,0.0,20.7328
Office Supplies,Storage,211.96,4,0.0,8.478399999999993
Office Supplies,Binders,23.2,4,0.0,10.44
Office Supplies,Supplies,7.36,2,0.0,0.14719999999999978
Office Supplies,Storage,104.79,7,0.0,29.341200000000008
Furniture,Bookcases,1043.92,4,0.0,271.41920000000005
Office Supplies,Paper,25.920000000000005,5,0.2,9.396
Office Supplies,Storage,53.42400000000001,3,0.2,4.674600000000002
Office Supplies,Binders,8.160000000000002,5,0.7,-5.712
Technology,Accessories,1023.9360000000001,8,0.2,179.1887999999999
Office Supplies,Art,9.24,1,0.2,0.9239999999999999
Technology,Accessories,479.04,10,0.2,-29.940000000000012
Office Supplies,Paper,99.13600000000001,4,0.2,30.979999999999993
Furniture,Tables,1488.4239999999998,7,0.3,-297.6847999999998
Office Supplies,Appliances,8.651999999999997,3,0.8,-20.332200000000007
Office Supplies,Storage,23.832,3,0.2,2.6810999999999954
Office Supplies,Binders,12.175999999999998,4,0.8,-18.87280000000001
Office Supplies,Paper,50.96,7,0.0,25.48
Office Supplies,Binders,49.536,3,0.2,17.3376
Technology,Accessories,41.9,2,0.0,8.799
Furniture,Tables,375.45750000000004,3,0.45,-157.00949999999997
Technology,Accessories,83.97600000000001,3,0.2,-1.049700000000005
Technology,Machines,482.34000000000003,4,0.7,-337.6379999999998
Furniture,Furnishings,2.9600000000000004,1,0.2,0.7770000000000002
Office Supplies,Art,2.624,1,0.2,0.4263999999999998
Office Supplies,Binders,23.36,4,0.2,7.883999999999999
Technology,Accessories,39.98,2,0.0,13.593199999999996
Technology,Phones,246.38400000000001,2,0.2,27.718199999999968
Technology,Copiers,1799.97,3,0.0,701.9883
Office Supplies,Binders,12.461999999999996,3,0.8,-20.5623
Office Supplies,Binders,75.792,3,0.2,25.57979999999999
Office Supplies,Storage,49.96,2,0.0,9.492399999999996
Office Supplies,Paper,12.96,2,0.0,6.2208000000000006
Office Supplies,Supplies,70.12,4,0.0,21.035999999999994
Office Supplies,Storage,35.952000000000005,3,0.2,3.5951999999999984
Furniture,Bookcases,2396.2655999999997,4,0.32,-317.15280000000007
Office Supplies,Storage,131.136,4,0.2,-32.784
Technology,Accessories,57.584,2,0.2,0.7197999999999993
Office Supplies,Paper,9.568000000000001,2,0.2,3.4684
Office Supplies,Art,39.072,6,0.2,9.768
Office Supplies,Appliances,35.910000000000004,3,0.0,9.695699999999999
Technology,Accessories,179.95000000000002,5,0.0,37.789500000000004
Technology,Copiers,1199.976,3,0.2,434.9913
Office Supplies,Paper,27.15,5,0.0,13.3035
Furniture,Tables,1004.0239999999999,7,0.2,-112.95269999999994
Office Supplies,Paper,9.68,1,0.0,4.6464
Office Supplies,Labels,28.349999999999998,9,0.0,13.608
Office Supplies,Paper,55.98,1,0.0,27.4302
Furniture,Bookcases,1336.829,13,0.15,31.45479999999995
Furniture,Chairs,113.56800000000001,2,0.2,-18.454800000000013
Office Supplies,Paper,139.86,7,0.0,65.73419999999999
Furniture,Chairs,307.136,4,0.2,26.874400000000023
Office Supplies,Art,95.92,8,0.0,25.898399999999995
Furniture,Chairs,383.8,5,0.2,38.37999999999998
Office Supplies,Paper,5.78,1,0.0,2.8322000000000003
Office Supplies,Art,9.32,4,0.0,2.702799999999999
Office Supplies,Envelopes,15.25,1,0.0,7.014999999999999
Technology,Accessories,196.752,6,0.2,56.56620000000001
Furniture,Furnishings,56.56,4,0.0,14.705600000000004
Office Supplies,Storage,32.7,3,0.0,8.501999999999999
Furniture,Chairs,866.4,4,0.0,225.264
Furniture,Furnishings,28.4,2,0.0,11.076
Office Supplies,Binders,287.92,8,0.0,138.2016
Technology,Machines,69.99,1,0.0,30.0957
Office Supplies,Art,6.671999999999999,6,0.2,0.5004
Office Supplies,Binders,189.58800000000005,2,0.7,-145.3508
Technology,Accessories,408.74399999999997,7,0.2,76.63949999999998
Technology,Accessories,291.96,5,0.2,54.74249999999998
Office Supplies,Storage,4.768,2,0.2,-0.7748000000000006
Office Supplies,Storage,714.3000000000001,5,0.0,207.14699999999993
Office Supplies,Binders,4.812,2,0.7,-3.6891999999999996
Technology,Accessories,247.8,5,0.2,-18.584999999999994
Technology,Machines,1007.979,3,0.3,43.199100000000044
Office Supplies,Paper,313.488,7,0.2,113.63939999999998
Office Supplies,Paper,31.872000000000003,8,0.2,11.553600000000003
Furniture,Chairs,207.84600000000003,3,0.1,2.3093999999999895
Furniture,Furnishings,12.22,1,0.0,3.6659999999999986
Office Supplies,Storage,194.94,3,0.0,23.39280000000001
Office Supplies,Storage,70.94999999999999,3,0.0,20.575499999999998
Office Supplies,Paper,91.36,4,0.0,42.0256
Furniture,Chairs,242.94,3,0.0,29.152800000000013
Office Supplies,Labels,22.05,7,0.0,10.584
Furniture,Furnishings,2.91,1,0.0,1.3677
Office Supplies,Art,59.519999999999996,3,0.0,15.475200000000001
Office Supplies,Storage,161.94,3,0.0,9.716399999999993
Office Supplies,Art,263.88,6,0.0,71.2476
Office Supplies,Art,30.48,3,0.0,7.924800000000001
Office Supplies,Art,9.84,3,0.0,2.853599999999999
Technology,Phones,35.12,4,0.0,9.1312
Furniture,Tables,284.364,2,0.4,-75.83040000000005
Office Supplies,Storage,665.408,2,0.2,66.54079999999996
Technology,Accessories,63.88,4,0.0,24.913200000000003
Furniture,Chairs,129.568,2,0.2,-24.29400000000002
Furniture,Chairs,747.558,3,0.3,-96.11460000000011
Office Supplies,Envelopes,8.928,2,0.2,3.348
Office Supplies,Appliances,103.92,4,0.0,36.372
Technology,Accessories,899.91,9,0.0,377.96220000000005
Office Supplies,Binders,51.312,3,0.2,18.600599999999996
Furniture,Furnishings,23.56,5,0.2,7.0680000000000005
Furniture,Tables,1272.6299999999999,6,0.5,-814.4831999999999
Office Supplies,Binders,28.485,5,0.7,-20.88899999999999
Office Supplies,Supplies,185.376,2,0.2,-34.75800000000002
Office Supplies,Appliances,78.272,2,0.2,5.8704
Furniture,Furnishings,254.74400000000003,7,0.6,-312.06139999999994
Furniture,Bookcases,205.33279999999996,2,0.32,-36.235200000000006
Office Supplies,Binders,4.7879999999999985,3,0.8,-7.9002
Office Supplies,Paper,55.48,1,0.0,26.630399999999998
Office Supplies,Storage,340.92,3,0.0,3.4091999999999842
